time_key,open,high,low,close,volume
2021-01-04,150.91,150.94,150.15,150.79,31160667
2021-01-05,150.82,151.16,147.52,148.34,6498547
2021-01-06,148.3,150.41,147.68,150.18,25000813
2021-01-07,150.66,152.82,149.77,152.5,15876481
2021-01-08,152.31,152.38,147.65,147.8,16700995
2021-01-11,148.41,149.84,144.66,144.78,38234578
2021-01-12,144.72,145.48,144.43,145.14,25419612
2021-01-13,144.77,144.77,142.39,144.46,25760016
2021-01-14,144.48,144.51,144.26,144.48,15963194
2021-01-15,144.17,144.86,142.48,142.57,17112178
2021-01-18,142.35,146.04,142.32,144.63,28373519
2021-01-19,144.74,147.93,144.23,146.49,4439700
2021-01-20,146.65,146.9,146.59,146.7,11780171
2021-01-21,146.52,149.41,145.68,149.4,25210111
2021-01-22,149.7,150.71,149.59,150.58,26070842
2021-01-25,150.93,151.28,148.52,148.57,6413532
2021-01-26,149.0,150.0,148.91,149.51,32149579
2021-01-27,149.67,150.36,147.15,147.27,23074130
2021-01-28,147.68,149.76,146.91,149.4,11795406
2021-01-29,148.84,149.54,148.03,149.34,30822168
2021-02-01,149.25,150.82,148.83,148.96,39662451
2021-02-02,148.7,149.27,146.45,147.4,18672657
2021-02-03,147.43,151.26,146.15,150.34,13487504
2021-02-04,150.17,150.65,149.89,150.03,14078225
2021-02-05,149.98,150.64,148.62,149.06,24926330
2021-02-08,149.62,150.13,148.0,148.28,4753216
2021-02-09,148.23,150.25,147.56,149.6,20886879
2021-02-10,149.73,151.71,149.6,150.54,3916781
2021-02-11,150.47,152.25,149.08,151.59,4427471
2021-02-12,151.61,152.87,150.66,152.7,18910983
2021-02-15,152.7,158.58,151.81,157.99,30584020
2021-02-16,158.13,158.18,156.0,157.03,35683775
2021-02-17,157.39,158.27,154.46,155.8,6242504
2021-02-18,156.31,156.64,153.48,153.84,12030322
2021-02-19,153.93,155.86,153.91,155.41,18601480
2021-02-22,155.6,158.35,155.28,158.28,24240053
2021-02-23,157.92,158.23,157.17,158.06,39520858
2021-02-24,158.03,158.23,155.81,156.0,28319315
2021-02-25,156.29,157.44,152.11,154.0,22919349
2021-02-26,154.27,156.37,153.19,155.66,5250705
2021-03-01,155.73,158.04,155.07,157.58,5990141
2021-03-02,157.86,159.02,157.35,159.01,8664713
2021-03-03,159.17,159.87,156.73,157.38,27449191
2021-03-04,157.76,159.21,156.36,158.03,15257241
2021-03-05,158.12,159.42,157.31,158.39,11914894
2021-03-08,158.27,160.62,157.36,159.0,27793447
2021-03-09,159.11,161.31,158.28,161.29,33168550
2021-03-10,160.34,162.83,159.96,161.93,19244299
2021-03-11,162.05,164.07,161.92,163.75,35628549
2021-03-12,162.56,164.54,161.95,163.99,30165217
2021-03-15,163.43,165.35,163.11,164.82,29501861
2021-03-16,164.97,166.74,164.64,166.55,35101121
2021-03-17,166.71,166.96,161.41,162.73,9800901
2021-03-18,162.35,162.9,161.87,161.96,31059774
2021-03-19,161.73,162.12,159.94,160.81,38436269
2021-03-22,161.25,161.81,158.28,159.23,39713146
2021-03-23,159.08,159.21,158.09,158.59,24387617
2021-03-24,159.3,163.3,159.04,162.45,30911359
2021-03-25,162.45,162.77,159.66,160.26,35878453
2021-03-26,160.4,163.95,159.7,162.81,34530630
2021-03-29,163.34,163.87,157.94,158.49,36218304
2021-03-30,158.53,159.39,156.43,157.71,33797555
2021-03-31,157.39,159.3,156.97,158.18,17108487
2021-04-01,158.15,160.55,157.44,159.73,30019833
2021-04-02,159.72,161.84,159.28,161.61,18186209
2021-04-05,161.17,163.85,160.61,163.73,32666667
2021-04-06,163.64,163.81,161.39,162.88,32978993
2021-04-07,162.64,163.19,160.32,161.74,37583279
2021-04-08,162.04,164.33,161.37,164.02,24767816
2021-04-09,164.03,164.23,162.96,163.59,9125154
2021-04-12,163.49,164.21,159.54,160.31,26616619
2021-04-13,160.28,160.73,157.02,157.47,23956977
2021-04-14,157.54,158.03,155.03,155.22,22052769
2021-04-15,155.41,157.45,155.28,156.51,28024013
2021-04-16,156.2,157.77,155.87,156.93,34488368
2021-04-19,156.61,160.18,154.54,158.73,8500865
2021-04-20,159.08,159.66,157.27,157.71,18960305
2021-04-21,157.58,159.6,157.21,158.17,29725271
2021-04-22,157.72,160.96,157.36,159.82,33329890
2021-04-23,159.96,161.26,158.29,159.09,31800383
2021-04-26,159.24,160.9,158.04,160.32,32576119
2021-04-27,159.83,160.96,158.16,158.68,34636385
2021-04-28,158.76,159.12,157.43,157.82,38589785
2021-04-29,158.06,158.14,156.09,156.92,25498421
2021-04-30,157.04,158.62,153.69,153.98,12210065
2021-05-03,154.18,155.45,154.11,155.24,23851060
2021-05-04,154.81,155.63,154.13,154.14,29255921
2021-05-05,154.24,154.4,154.19,154.23,6725988
2021-05-06,154.14,156.7,153.7,155.48,31006021
2021-05-07,155.33,157.08,154.98,156.65,23135797
2021-05-10,156.93,159.2,155.77,158.39,37642304
2021-05-11,158.85,159.48,158.11,158.2,10837559
2021-05-12,158.77,159.67,156.57,157.19,36555389
2021-05-13,157.6,159.3,156.65,157.05,19576170
2021-05-14,157.02,157.23,152.03,152.88,24220456
2021-05-17,152.98,153.43,148.89,149.4,27420106
2021-05-18,149.63,150.79,145.89,146.3,24428667
2021-05-19,146.33,146.66,143.83,144.02,36441767
2021-05-20,144.06,145.32,143.64,145.0,9189775
2021-05-21,145.24,146.02,142.5,142.96,30005463
2021-05-24,142.94,143.34,141.96,142.15,39073619
2021-05-25,141.94,145.94,141.25,145.16,11144377
2021-05-26,145.04,145.48,143.76,144.39,12435646
2021-05-27,144.57,146.25,143.86,146.15,20575421
2021-05-28,146.15,146.61,143.41,144.03,29815240
2021-05-31,144.13,144.96,143.53,143.61,38482263
2021-06-01,143.8,143.83,140.26,141.49,32444415
2021-06-02,141.38,141.48,139.43,140.78,32378694
2021-06-03,140.99,143.06,140.79,142.72,19324973
2021-06-04,142.83,143.14,137.88,138.84,26879233
2021-06-07,138.49,140.4,138.05,139.86,10814167
2021-06-08,140.26,140.8,140.01,140.45,20136529
2021-06-09,140.3,140.69,138.87,139.17,9991534
2021-06-10,138.71,140.73,135.64,136.0,4003563
2021-06-11,135.72,137.02,135.71,136.21,34690352
2021-06-14,135.94,138.01,134.75,135.11,32774967
2021-06-15,135.13,136.09,134.14,135.67,21897990
2021-06-16,135.6,136.47,135.07,135.77,3536322
2021-06-17,135.68,139.53,135.17,139.31,6335068
2021-06-18,139.48,140.5,138.24,138.83,7135480
2021-06-21,138.92,139.68,135.56,136.61,29529720
2021-06-22,136.7,137.76,136.49,137.06,10529190
2021-06-23,137.17,138.92,136.71,137.59,12256328
2021-06-24,137.76,141.44,137.05,140.64,34860633
2021-06-25,140.05,142.62,140.04,142.58,35426605
2021-06-28,142.47,144.3,142.39,143.45,31232976
2021-06-29,142.82,147.29,141.51,146.86,14454156
2021-06-30,146.88,147.62,142.74,144.13,24457697
2021-07-01,144.13,144.75,141.52,142.71,10410020
2021-07-02,143.01,143.53,138.9,140.65,34742495
2021-07-05,140.99,142.2,139.19,139.83,6139762
2021-07-06,139.89,140.17,136.14,136.81,30542932
2021-07-07,136.67,138.85,136.01,138.25,21926652
2021-07-08,138.39,139.28,137.13,137.82,31026474
2021-07-09,137.67,138.6,134.3,134.63,19677290
2021-07-12,134.63,135.71,132.42,132.5,8850507
2021-07-13,132.76,133.24,132.39,133.21,30798549
2021-07-14,133.06,135.84,132.91,135.05,26349955
2021-07-15,135.27,139.89,134.46,139.42,20190295
2021-07-16,139.61,146.56,139.56,145.98,16790873
2021-07-19,145.7,147.94,145.58,147.0,15721190
2021-07-20,147.29,147.36,143.94,144.73,20801969
2021-07-21,144.94,145.83,139.45,139.86,12681231
2021-07-22,139.88,142.04,139.37,140.51,13447395
2021-07-23,140.3,140.56,138.28,138.74,13291429
2021-07-26,138.5,139.75,137.15,137.87,3469145
2021-07-27,137.72,138.24,136.19,136.58,37330372
2021-07-28,136.73,137.35,135.9,136.32,11752407
2021-07-29,136.06,139.31,135.53,138.7,9107908
2021-07-30,138.83,140.5,138.15,139.11,8593351
2021-08-02,138.76,138.85,138.65,138.81,39562527
2021-08-03,138.75,138.92,135.59,136.57,20639489
2021-08-04,136.6,137.81,132.05,132.96,15096019
2021-08-05,133.61,134.05,131.82,131.98,17944029
2021-08-06,131.62,132.06,131.08,131.92,6270438
2021-08-09,132.31,136.4,131.27,135.7,14605675
2021-08-10,135.74,136.66,135.7,136.04,12201544
2021-08-11,136.15,139.07,136.07,138.23,32719080
2021-08-12,138.27,138.46,136.95,137.18,5161332
2021-08-13,137.31,137.71,134.04,134.64,18741577
2021-08-16,134.6,134.71,131.64,132.61,32231101
2021-08-17,133.0,133.43,130.71,131.13,33843073
2021-08-18,131.01,135.83,130.5,135.65,21964457
2021-08-19,135.95,136.11,131.87,133.92,11233498
2021-08-20,133.74,136.27,133.02,135.77,15468504
2021-08-23,135.75,136.08,133.02,133.86,11224772
2021-08-24,133.57,136.07,133.23,135.91,27495835
2021-08-25,136.03,136.86,134.99,136.8,13827711
2021-08-26,137.2,137.49,136.47,136.51,26333921
2021-08-27,136.49,137.04,136.09,136.48,27260680
2021-08-30,136.42,136.59,133.86,135.1,37775267
2021-08-31,134.8,136.33,134.35,136.12,16702984
2021-09-01,136.06,136.13,134.46,135.18,38566639
2021-09-02,134.75,135.9,131.33,132.59,17826512
2021-09-03,132.35,133.23,129.85,129.93,28185299
2021-09-06,129.99,130.84,128.53,130.34,27479927
2021-09-07,130.68,134.95,129.82,133.69,33259189
2021-09-08,134.44,134.58,133.72,134.08,20357102
2021-09-09,133.92,134.98,133.32,133.88,32319728
2021-09-10,134.27,134.88,134.0,134.55,16147454
2021-09-13,134.61,137.53,134.41,137.41,21178230
2021-09-14,137.37,138.34,136.76,137.95,21487947
2021-09-15,138.07,138.09,136.58,137.1,29064956
2021-09-16,137.11,139.75,136.33,139.58,25878837
2021-09-17,139.61,141.14,139.61,140.59,5895583
2021-09-20,140.48,144.31,140.26,144.1,32935411
2021-09-21,143.7,144.73,143.33,144.58,31046780
2021-09-22,144.14,144.69,141.71,141.81,6868429
2021-09-23,141.99,142.57,138.49,138.76,38587821
2021-09-24,138.68,143.45,138.45,142.48,27446656
2021-09-27,142.31,146.75,141.73,146.47,6144065
2021-09-28,146.47,146.87,145.8,146.11,21181651
2021-09-29,146.34,146.51,145.2,145.27,33936284
2021-09-30,145.32,149.44,144.84,148.72,13353664
2021-10-01,148.53,148.59,145.67,146.15,37520260
2021-10-04,146.51,146.79,143.24,144.12,18480976
2021-10-05,144.57,145.88,143.86,145.66,11368988
2021-10-06,145.8,145.87,144.74,144.79,16188673
2021-10-07,145.08,145.46,144.22,144.84,22418013
2021-10-08,145.2,146.81,143.94,144.52,28460814
2021-10-11,144.85,145.69,144.44,145.36,37330754
2021-10-12,145.54,149.19,144.51,148.69,10211132
2021-10-13,148.87,149.29,148.11,148.97,38528362
2021-10-14,149.12,150.75,148.72,150.56,22524937
2021-10-15,150.23,151.28,145.38,145.68,7731648
2021-10-18,145.89,146.7,145.6,145.63,37279319
2021-10-19,145.23,145.3,142.9,143.72,15913156
2021-10-20,143.49,144.29,140.96,140.97,25961646
